module,phase,name,code,sequence,command,required,agent,description,detection_method,detection_query
aria,0-setup,Platform Discovery,LD,10,aria-setup,true,,Discover platform team statuses and create ARIA labels,config_check,team_name populated
aria,0-setup,Git Discovery,GD,15,aria-git,false,,Discover Git/GitHub settings and configure integration,config_check,git_enabled populated
aria,1-analysis,Brainstorm Project,BP,5,aria-brainstorm,false,analyst,Generate diverse ideas through interactive brainstorming techniques,document,aria-brainstorming
aria,1-analysis,Research,FR,10,aria-research,false,analyst,Market domain and technical research — analysis and feasibility,document,aria-research
aria,1-analysis,Create Brief,CB,20,aria-brief,false,analyst,Guided experience to nail down your product idea or generate project context,document,aria-brief
aria,2-planning,Create PRD,CP,10,aria-prd,true,pm,Create edit or validate the Product Requirements Document,document,aria-prd
aria,2-planning,Create UX Design,CU,20,aria-ux,false,ux-designer,UX design specifications — recommended if a UI is a primary piece,document,aria-ux
aria,3-solutioning,Create Architecture,CA,10,aria-arch,true,architect,Guided workflow to document technical decisions,document,aria-architecture
aria,3-solutioning,Create Epics and Stories,CE,20,aria-epics,true,pm,Create epics and work items from the PRD,epic,project_count
aria,3-solutioning,Implementation Readiness,IR,30,aria-ready,true,architect,Validate cohesion across PRD and architecture and stories,document,aria-readiness
aria,3-solutioning,Threat Model,TM,35,aria-threat,false,security,STRIDE-based threat modeling with trust boundaries and mitigations,document,aria-threat-model
aria,3-solutioning,Security Audit,SA,36,aria-audit,false,security,Code and dependency security audit with OWASP mapping,work_item_label,aria-security-audit
aria,3-solutioning,Security Review,SR,37,aria-secure,false,security,Security architecture review with findings,work_item_label,aria-security-review
aria,3-solutioning,Data Model,DM,38,aria-data,false,data,ERD and schema design with relationships and indexes,document,aria-data-model
aria,3-solutioning,Data Pipeline,DPP,39,aria-pipeline,false,data,ETL/ELT pipeline design with scheduling and error handling,document,aria-data-pipeline
aria,3-solutioning,Data Migration,DMG,40,aria-migrate,false,data,Data migration plan with rollback and validation,document,aria-data-migration
aria,4-implementation,Sprint Planning,SP,10,aria-sprint,true,sm,Plan sprint with capacity check and backlog refinement,sprint,active_cycle
aria,4-implementation,Refine Story,CS,20,aria-story,true,sm,Estimate and prepare story with full dev context and dependencies,work_item_state,Todo
aria,4-implementation,Dev Story,DS,30,aria-dev,true,dev,Implement the next story with platform status tracking,work_item_state,In Progress
aria,4-implementation,Code Review,CR,40,aria-cr,false,qa,Adversarial code review — recommended with different LLM,work_item_state,In Review
aria,4-implementation,QA Testing,QA,45,aria-test,false,qa,Generate tests for reviewed stories,work_item_label,aria-tested
aria,4-implementation,Retrospective,ER,50,aria-retro,false,sm,Review completed sprint — velocity metrics and lessons learned,document,aria-retrospective
aria,5-release,Release Plan,RP,10,aria-release,false,devops,Version planning changelog and milestone management,document,aria-release-plan
aria,5-release,CI/CD Design,CI,20,aria-cicd,false,devops,Continuous integration and deployment pipeline design,document,aria-cicd-design
aria,5-release,Deploy Strategy,DPL,30,aria-deploy,false,devops,Deployment strategy with rollback and monitoring,document,aria-deploy-strategy
aria,anytime,Quick Spec,QS,,aria-quick,false,quick-flow,One-off tech spec as a work item — skips full planning,,
aria,anytime,Quick Dev,QD,,aria-quick-dev,false,quick-flow,Implement a quick-spec work item directly — skips code review,,
aria,anytime,Course Correction,CC,,aria-course,false,sm,Navigate significant mid-implementation changes,,
aria,anytime,Document Project,DP,,aria-docs,false,tech-writer,Scan existing project and produce or validate documentation,,
aria,anytime,Write Document,WD,,aria-write,false,tech-writer,Author technical documentation or explain concepts — output to document,,
aria,anytime,Mermaid Generate,MG,,aria-diagram,false,tech-writer,Create Mermaid-compliant diagrams through conversation,,
aria,anytime,Critique,RV,,aria-critique,false,,Review any document — adversarial edge cases prose or structure,,
aria,anytime,Party Mode,PMD,,aria-party,false,,Multi-agent discussion on any topic,,
aria,anytime,Project Dashboard,PD,,aria-dash,false,,Create or update a project status dashboard,,
aria,anytime,Orchestrate,ORC,,aria-go,false,,Auto-pilot — polls platform state and dispatches agents,,
aria,anytime,Help,BH,,aria-help,false,,Get help and find your next step,,
